,zip_code,Median_Income,rental price,city,persons counted 2018,persons counted 2019,persons in perma housing,latitude,longitude,Median Age,Population,Household,median lengh of residence,average house income,Unemployed %,crimes,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue
55,90716,38500,2134,Hawaiian Gardens,27,86,15,33.8296,-118.073,31.5,13729,3456,8.7,62778,7.09,81,1,Mexican Restaurant,Sandwich Place,Grocery Store
56,90717,61077,2593,Lomita,14,26,11,33.7938,-118.3172,41.4,21689,8528,8.4,102014,5.56,66,6,Asian Restaurant,Pizza Place,Gym
57,90723,49064,2293,Paramount,107,114,8,33.8969,-118.1632,31.9,54522,14070,8.1,69099,5.82,329,6,Thai Restaurant,Italian Restaurant,Bank
58,90745,73053,2458,Carson,469,326,62,33.823,-118.2684,38.4,60129,15956,12.1,100367,7.35,435,6,Video Store,Convenience Store,Asian Restaurant
59,90746,81988,2684,Carson,469,326,62,33.8584,-118.2554,42.1,25484,7966,14.0,108102,8.01,435,6,Soccer Field,Concert Hall,Pool Hall
60,90810,56061,2293,Carson,469,326,62,33.8193,-118.2325,34.0,37334,9445,10.3,85327,8.11,435,6,Café,Gym,Fast Food Restaurant
61,90755,75828,2398,Signal Hill,36,50,6,33.8029,-118.1677,39.1,12489,4631,7.5,117643,5.19,86,6,Pet Store,Park,Sandwich Place
62,90802,51302,2115,Long Beach,---(1),0,571,33.7706,-118.182,39.7,40993,20832,5.4,83478,5.33,3284,6,Coffee Shop,Hotel,Burger Joint
63,90806,50615,2285,Long Beach,---(1),0,571,33.8045,-118.1876,33.4,43971,12680,7.1,75495,5.89,3284,6,Fast Food Restaurant,Sandwich Place,Pharmacy
64,90808,102563,2327,Long Beach,---(1),0,571,33.8241,-118.1103,43.5,38392,14183,14.5,145068,2.92,3284,6,Martial Arts Dojo,Snack Place,Construction & Landscaping
65,90813,34257,2062,Long Beach,---(1),0,571,33.782,-118.1835,31.0,59970,16978,5.6,55721,9.09,3284,6,Vietnamese Restaurant,Grocery Store,Pizza Place
66,90814,64623,2428,Long Beach,---(1),0,571,33.7716,-118.148,42.0,18294,8804,6.6,107247,4.32,3284,6,Convenience Store,Donut Shop,Cosmetics Shop
67,90815,84714,2413,Long Beach,---(1),0,571,33.7939,-118.1192,41.0,38672,14886,10.1,128864,4.46,3284,6,Grocery Store,Yoga Studio,Gym / Fitness Center
68,91006,99360,2749,Arcadia,15,77,3,34.1324,-118.0264,45.0,33026,11093,11.8,147129,4.35,76,6,Chinese Restaurant,Fast Food Restaurant,Donut Shop
69,91007,79964,2751,Arcadia,15,77,3,34.1243,-118.0515,46.5,33898,11856,9.3,125947,4.18,76,6,Dessert Shop,Chinese Restaurant,Bakery
70,91010,68599,2413,Azusa,143,325,41,34.1407,-117.9567,40.5,26701,8267,10.4,103019,7.29,193,6,Thai Restaurant,Park,Restaurant
71,91702,59104,2349,Azusa,143,325,41,34.1248,-117.9031,32.9,63677,16878,8.5,88788,6.15,193,1,Mexican Restaurant,Convenience Store,Fast Food Restaurant
72,91011,160288,3133,La Cañada Flintridge,-,2,0,34.2217,-118.2051,46.8,20893,7044,14.2,245816,2.6,13,6,Home Service,Photography Studio,Trail
73,91016,71341,2497,Monrovia,69,75,16,34.144,-118.0014,40.2,41665,15477,8.0,114169,6.55,69,6,Mexican Restaurant,Café,Coffee Shop
74,91024,98547,2731,Sierra Madre,-,0,0,34.1651,-118.0519,49.3,11305,4983,9.3,172643,4.99,7,6,American Restaurant,Liquor Store,Bank
75,91030,92847,2823,South Pasadena,22,34,3,34.1109,-118.1547,43.1,25925,10477,8.2,146297,4.31,32,6,Chinese Restaurant,Coffee Shop,Pizza Place
